2025-04-11 09:46:07 | config/init-bts > | show | RESULT: NOK
2025-04-11 09:47:44 | config/init-bts > | show | RESULT: NOK
2025-04-11 09:47:49 | config/init-bts > | show | RESULT: NOK
2025-04-11 09:53:58 | config/init-bts > | show | RESULT: OK
2025-04-11 09:53:58 | config > | init_bts | RESULT: NOK
2025-04-11 09:54:01 | config > | show | RESULT: NOK
2025-04-11 09:54:31 | config > | set action_cmd init | RESULT: NOK
2025-04-11 09:54:47 | config > | set action_cmd init | RESULT: NOK
2025-04-11 09:55:38 | config/init-bts > | show | RESULT: OK
2025-04-11 09:55:38 | config > | init_bts | RESULT: NOK
2025-04-11 10:01:46 | config/init-bts > | show | RESULT: NOK
2025-04-11 10:03:09 | config/init-bts > | show | RESULT: NOK
2025-04-11 10:04:09 | config/init-bts > | show | RESULT: NOK
2025-04-11 10:05:00 | config/init-bts > | show | RESULT: NOK
2025-04-11 10:05:31 | config/init-bts > | show | RESULT: NOK
2025-04-11 10:06:03 | config/init-bts > | show | RESULT: NOK
2025-04-11 10:07:02 | config/init-bts > | show | RESULT: OK
2025-04-11 10:07:02 | config > | init_bts | RESULT: NOK
2025-04-11 10:08:31 | config/init-bts > | show | RESULT: OK
2025-04-11 10:08:31 | config > | init_bts | RESULT: NOK
2025-04-11 10:10:34 | config > | init_btrs | RESULT: NOK
2025-04-11 10:10:34 | # nocli > | config | RESULT: NOK
2025-04-11 10:10:46 | config/init-bts > | dd | RESULT: NOK
2025-04-11 10:10:46 | config > | init_bts | RESULT: NOK
2025-04-11 10:10:46 | # nocli > | config | RESULT: NOK
2025-04-11 10:11:02 | config/init-bts > | show | RESULT: OK
2025-04-11 10:11:02 | config > | init_bts | RESULT: NOK
2025-04-11 10:11:02 | # nocli > | config | RESULT: NOK
2025-04-11 10:13:14 | config/init-bts > | show | RESULT: OK
2025-04-11 10:15:40 | config/init-bts > | exit | RESULT: OK
2025-04-11 10:15:41 | config/init-bts > | exit | RESULT: OK
2025-04-11 10:15:52 | config/init-bts > | show | RESULT: OK
2025-04-11 10:16:06 | config/init-bts > | set action_cmd init | RESULT: NOK
2025-04-11 10:16:12 | config/init-bts > | set rat_type 5g | RESULT: NOK
2025-04-11 10:16:17 | config/init-bts > | set tgt_bts 131297 | RESULT: NOK
2025-04-11 10:16:22 | config/init-bts > | show_xml_list | RESULT: NOK
2025-04-11 10:16:28 | config/init-bts > | load 5G_DU30_Ref_20240705.xml | RESULT: NOK
2025-04-11 10:17:01 | config/init-bts/cfg-bts(131297) > | exit | RESULT: OK
2025-04-11 10:23:18 | config/init-bts > | show | RESULT: OK
2025-04-11 10:23:18 | config > | init_bts | RESULT: NOK
2025-04-11 10:23:24 | config > | set action_cmd init | RESULT: NOK
2025-04-11 10:45:54 | config/init-bts > | exit | RESULT: OK
2025-04-11 10:45:54 | config > | init_bts | RESULT: NOK
2025-04-11 10:45:59 | config/init-bts > | show | RESULT: OK
2025-04-11 10:46:06 | config/init-bts > | set action_cmd init | RESULT: NOK
2025-04-11 10:46:12 | config/init-bts > | show | RESULT: OK
2025-04-11 10:46:18 | config/init-bts > | set rat_type 5g | RESULT: NOK
2025-04-11 10:46:27 | config/init-bts > | set tgt_bts 131297 | RESULT: NOK
2025-04-11 10:46:37 | config/init-bts > | show_xml_list | RESULT: NOK
2025-04-11 10:46:42 | config/init-bts > | load 5G_DU30_Ref_20240705.xml | RESULT: NOK
2025-04-11 10:47:03 | config/init-bts/cfg-bts(131297) > | show | RESULT: NOK
2025-04-11 10:49:04 | config/init-bts > | set action_cmd init | RESULT: NOK
2025-04-11 13:28:37 | config/init-bts > | set action_cmd init | RESULT: NOK
2025-04-11 13:30:13 | # nocli > | coinfig | RESULT: NOK
2025-04-11 13:30:47 | config/init-bts > | set action-cmd init | RESULT: NOK
2025-04-11 13:31:04 | config/init-bts > | show | RESULT: OK
2025-04-11 13:31:14 | config/init-bts > | set action_cmd init | RESULT: NOK
2025-04-11 13:31:23 | config/init-bts > | set action_cmd init | RESULT: NOK
2025-04-11 13:34:42 | config/init-bts > | set action_cmd init | RESULT: OK
2025-04-11 13:34:53 | config/init-bts > | exit | RESULT: OK
2025-04-11 13:34:53 | config > | init_bts | RESULT: NOK
2025-04-11 13:37:55 | config/init-bts > | set action_cmd init | RESULT: OK
2025-04-11 13:37:57 | config > | init_bts | RESULT: NOK
2025-04-11 13:38:27 | config > | init_bts | RESULT: NOK
2025-04-11 13:39:35 | config/init-bts > | set action_cmd init | RESULT: NOK
2025-04-11 13:40:44 | config/init-bts > | set action_cmd init | RESULT: NOK
2025-04-11 13:41:51 | config/init-bts > | set action_cmd init | RESULT: OK
2025-04-11 13:41:54 | config > | init_bts | RESULT: NOK
2025-04-11 13:44:09 | config/init-bts > | set action_cmd init | RESULT: NOK
2025-04-11 13:48:28 | config/init-bts > | set action_cmd init | RESULT: OK
2025-04-11 13:48:34 | config > | init_bts | RESULT: NOK
2025-04-11 13:48:34 | # nocli > | config | RESULT: NOK
2025-04-11 13:49:42 | config/init-bts > | set action_cmd init | RESULT: OK
2025-04-11 13:49:47 | config > | init_bts | RESULT: NOK
2025-04-11 13:49:47 | # nocli > | config | RESULT: NOK
2025-04-11 13:51:58 | config/init-bts > | set action_cmd init | RESULT: OK
2025-04-11 13:52:00 | config > | init_bts | RESULT: NOK
2025-04-11 13:52:00 | # nocli > | config | RESULT: NOK
2025-04-11 13:52:52 | config/init-bts > | set action_cmd init | RESULT: OK
2025-04-11 13:52:53 | config > | init_bts | RESULT: NOK
2025-04-11 13:52:53 | # nocli > | config | RESULT: NOK
2025-04-11 13:56:34 | config/init-bts > | exit | RESULT: OK
2025-04-11 13:56:34 | config > | init_bts | RESULT: NOK
2025-04-11 13:57:17 | config > | exit | RESULT: OK
2025-04-11 13:57:17 | # nocli > | config | RESULT: NOK
2025-04-11 13:57:23 | config/init-bts > | exit | RESULT: OK
2025-04-11 13:57:23 | config > | init_bts | RESULT: NOK
2025-04-11 13:58:03 | config/init-bts > | set action_cmd init | RESULT: OK
2025-04-11 13:58:15 | config/init-bts > | exit | RESULT: OK
2025-04-11 13:58:15 | config > | init_bts | RESULT: NOK
2025-04-11 14:01:39 | config > | init_bts | RESULT: NOK
